,postUrl,index,Total_Engagement,commentCount,query
0,https://www.instagram.com/p/Bul_BodnmU1/,446,165949,4071,https://www.instagram.com/marcorubiofla/
1,https://www.instagram.com/p/BuacLN1HOfq/,451,158757,13633,https://www.instagram.com/marcorubiofla/
2,https://www.instagram.com/p/BtGiQfbHaWb/,490,113475,9583,https://www.instagram.com/marcorubiofla/
3,https://www.instagram.com/p/BustZtOnNsJ/,443,98636,5954,https://www.instagram.com/marcorubiofla/
4,https://www.instagram.com/p/BuacQqoHVnA/,450,98425,4744,https://www.instagram.com/marcorubiofla/
5,https://www.instagram.com/p/CHTEJMGgU1w/,269,7518128,213394,https://www.instagram.com/kamalaharris/
6,https://www.instagram.com/p/CHUHyeKjwSL/,266,3763329,54427,https://www.instagram.com/kamalaharris/
7,https://www.instagram.com/p/CHT_BVgDT80/,267,3666396,43562,https://www.instagram.com/kamalaharris/
8,https://www.instagram.com/p/CHTWVwBBKuD/,268,3476807,60397,https://www.instagram.com/kamalaharris/
9,https://www.instagram.com/p/CKP7ccIFOEr/,140,3014108,23377,https://www.instagram.com/kamalaharris/
10,https://www.instagram.com/p/CKRRcdOsPhK/,187,6428391,141162,https://www.instagram.com/joebiden/
11,https://www.instagram.com/p/CKRbw35AeVO/,186,4649885,76914,https://www.instagram.com/joebiden/
12,https://www.instagram.com/p/CKRswhKBfHE/,185,4634098,159387,https://www.instagram.com/joebiden/
13,https://www.instagram.com/p/CKQFx2NMsgQ/,188,3900762,39411,https://www.instagram.com/joebiden/
14,https://www.instagram.com/p/CHUTs8mhqYD/,288,3803520,93028,https://www.instagram.com/joebiden/
15,https://www.instagram.com/p/Bq1SJXxA-p3/,65,437780,20111,https://www.instagram.com/georgewbush/
16,https://www.instagram.com/p/BhsYtzlBDC8/,83,383341,15286,https://www.instagram.com/georgewbush/
17,https://www.instagram.com/p/BrD4cgJAE1Y/,63,359718,8519,https://www.instagram.com/georgewbush/
18,https://www.instagram.com/p/Bq6L8MCghmo/,64,347484,7540,https://www.instagram.com/georgewbush/
19,https://www.instagram.com/p/Br0whaVgiU5/,61,330883,4857,https://www.instagram.com/georgewbush/
20,https://www.instagram.com/p/BaMsximAkh5/,3641,3972034,3766787,https://www.instagram.com/realdonaldtrump/
21,https://www.instagram.com/p/B7zY02lBszK/,776,2431930,45556,https://www.instagram.com/realdonaldtrump/
22,https://www.instagram.com/p/B_0JuYbAk3w/,510,2304404,63251,https://www.instagram.com/realdonaldtrump/
23,https://www.instagram.com/p/CF1Dhz8MKR7/,236,2111872,155100,https://www.instagram.com/realdonaldtrump/
24,https://www.instagram.com/p/CF-Unc7MJQl/,231,1977395,42979,https://www.instagram.com/realdonaldtrump/
25,https://www.instagram.com/p/CKRMYNoBQBz/,495,976931,12037,https://www.instagram.com/berniesanders/
26,https://www.instagram.com/p/CKojCAZLbRv/,481,802353,10884,https://www.instagram.com/berniesanders/
27,https://www.instagram.com/p/B9TOuIEhDb5/,1116,689691,14097,https://www.instagram.com/berniesanders/
28,https://www.instagram.com/p/CKSkvuXAcdw/,492,682258,12763,https://www.instagram.com/berniesanders/
29,https://www.instagram.com/p/CL9qj-SBjqb/,428,674114,4643,https://www.instagram.com/berniesanders/
30,https://www.instagram.com/p/B7bHRPbgjWc/,240,7977304,151181,https://www.instagram.com/barackobama/
31,https://www.instagram.com/p/CHTIkbmAs6x/,146,7719069,84318,https://www.instagram.com/barackobama/
32,https://www.instagram.com/p/CKSP4kSgE07/,104,5517136,36509,https://www.instagram.com/barackobama/
33,https://www.instagram.com/p/BsvW9O-A387/,304,5487302,90247,https://www.instagram.com/barackobama/
34,https://www.instagram.com/p/CEejKLhgmtk/,187,5124038,26960,https://www.instagram.com/barackobama/
35,https://www.instagram.com/p/CGswgujgG4A/,90,2728552,49523,https://www.instagram.com/schwarzenegger/
36,https://www.instagram.com/p/B1y_SfRA68f/,227,2401959,50494,https://www.instagram.com/schwarzenegger/
37,https://www.instagram.com/p/B99uK4igIkk/,150,2161743,26817,https://www.instagram.com/schwarzenegger/
38,https://www.instagram.com/p/BoND5Gol3wC/,347,1773711,18621,https://www.instagram.com/schwarzenegger/
39,https://www.instagram.com/p/B4F3ZyggzvZ/,199,1616604,12513,https://www.instagram.com/schwarzenegger/
40,https://www.instagram.com/p/CKQK3yupA2I/,74,268788,17322,https://www.instagram.com/mikepence/
41,https://www.instagram.com/p/CHdMiPzJrFk/,101,266660,3767,https://www.instagram.com/mikepence/
42,https://www.instagram.com/p/CJuwDvGp3zJ/,81,263621,50510,https://www.instagram.com/mikepence/
43,https://www.instagram.com/p/CMXcKzsAdYg/,68,234704,10553,https://www.instagram.com/mikepence/
44,https://www.instagram.com/p/COwP3z8t8oJ/,54,211297,44610,https://www.instagram.com/mikepence/
